Designator,Mid X,Mid Y,Layer,Rotation
C1,108.6450mm,-112.7000mm,Top,0
C2,108.6450mm,-115.2100mm,Top,0
C3,108.6450mm,-117.7200mm,Top,0
C4,108.6450mm,-120.2300mm,Top,0
C5,108.6450mm,-122.7400mm,Top,0
C6,108.6450mm,-125.2500mm,Top,0
C7,108.6450mm,-127.7600mm,Top,0
C8,108.6450mm,-130.2700mm,Top,0
C9,108.6450mm,-132.7800mm,Top,0
C10,112.6550mm,-112.7000mm,Top,0
C11,112.6550mm,-115.2100mm,Top,0
C14,112.6550mm,-117.7200mm,Top,0
C15,112.6550mm,-120.2300mm,Top,0
C16,100.0500mm,-113.5700mm,Top,0
C17,100.0500mm,-117.8200mm,Top,0
C20,100.0500mm,-122.0700mm,Top,0
C21,100.0500mm,-126.3200mm,Top,0
C22,100.4750mm,-130.5700mm,Top,0
C23,100.0500mm,-134.8200mm,Top,0
D1,130.0000mm,-144.5000mm,Top,0
D2,143.5000mm,-144.5000mm,Top,0
D3,154.4200mm,-129.9200mm,Top,0
D4,154.4200mm,-132.8700mm,Top,0
D5,154.4200mm,-135.8200mm,Top,0
ISO1,124.2650mm,-113.4900mm,Top,0
ISO2,124.2650mm,-120.1300mm,Top,0
ISO3,124.2650mm,-126.7700mm,Top,0
L1,80.4500mm,-107.3000mm,Top,0
L2,80.4500mm,-115.1500mm,Top,0
LED1,80.2500mm,-124.0000mm,Top,0
LED5,80.2500mm,-132.5000mm,Top,0
R1,112.6550mm,-122.7400mm,Top,0
R2,112.6550mm,-125.2500mm,Top,0
R3,112.6550mm,-127.7600mm,Top,0
R4,112.6550mm,-130.2700mm,Top,0
R5,112.6550mm,-132.7800mm,Top,0
R6,116.6650mm,-112.7000mm,Top,0
R7,116.6650mm,-115.2100mm,Top,0
R8,116.6650mm,-117.7200mm,Top,0
R9,116.6650mm,-120.2300mm,Top,0
R13,116.6650mm,-130.2700mm,Top,0
R19,116.6650mm,-132.7800mm,Top,0
R20,120.6750mm,-112.7000mm,Top,0
R21,120.6750mm,-115.2100mm,Top,0
R22,120.6750mm,-117.7200mm,Top,0
R23,120.6750mm,-120.2300mm,Top,0
R24,120.6750mm,-122.7400mm,Top,0
R25,120.6750mm,-125.2500mm,Top,0
R26,120.6750mm,-127.7600mm,Top,0
U1,146.2500mm,-77.8850mm,Top,0
U2,138.0000mm,-99.0000mm,Top,0
U3,148.0250mm,-134.3450mm,Top,0
U4,148.0250mm,-118.6350mm,Top,0
U5,148.0250mm,-125.2200mm,Top,0
Y1,125.3050mm,-133.6400mm,Top,0
